OGLE-GD-RRLYR-00244  RRc   06:58:26.02 -11:55:17.8  GD2381.31.275                                    
OGLE-GD-RRLYR-00245  RRab  06:58:28.05 -18:29:08.4  GD2386.21.684                                    
OGLE-GD-RRLYR-00246  RRc   06:58:43.61 -16:56:18.4  GD2385.29.145                                    
OGLE-GD-RRLYR-00247  RRab  06:58:46.04 -03:13:02.8  GD1710.31.3651                                   
OGLE-GD-RRLYR-00248  RRc   06:58:49.77 -13:40:25.2  GD2382.13.7106                                   
OGLE-GD-RRLYR-00249  RRab  06:58:50.35 +00:58:10.0  GD1728.14.500                                    
OGLE-GD-RRLYR-00250  RRc   06:58:50.41 +01:59:59.9  GD1733.06.4990                                   
OGLE-GD-RRLYR-00251  RRab  06:58:59.84 -14:57:44.1  GD2383.12.5631                                   
OGLE-GD-RRLYR-00252  RRab  06:59:21.88 -19:06:42.3  GD2386.03.34                                     
OGLE-GD-RRLYR-00253  RRab  06:59:33.47 -06:25:14.1  GD1695.13.316                                    
OGLE-GD-RRLYR-00254  RRab  06:59:35.64 -05:22:51.4  GD1705.05.4414                                   
OGLE-GD-RRLYR-00255  RRab  06:59:45.75 -18:43:56.2  GD2386.10.328                                    
OGLE-GD-RRLYR-00256  RRc   07:00:00.24 -03:20:09.7  GD1710.29.258                                    
OGLE-GD-RRLYR-00257  RRc   07:00:20.79 -01:04:29.8  GD1719.20.4501                                   
OGLE-GD-RRLYR-00258  RRab  07:01:11.57 -06:33:46.5  GD1695.02.4744                                   
OGLE-GD-RRLYR-00259  RRd   07:01:21.05 -13:43:25.0  GD2382.09.5478                                   
OGLE-GD-RRLYR-00260  RRc   07:01:36.33 -12:59:06.5  GD2381.01.15                                     
OGLE-GD-RRLYR-00261  RRc   07:01:56.19 -15:15:36.3  GD2376.25.5672                                   
OGLE-GD-RRLYR-00262  RRab  07:02:01.12 -10:34:41.1  GD1692.16.4967                                   
OGLE-GD-RRLYR-00263  RRab  07:02:05.49 -19:05:51.8  GD2379.23.212                                    
OGLE-GD-RRLYR-00264  RRab  07:02:38.14 -09:21:45.4  GD1691.15.3984                                   
OGLE-GD-RRLYR-00265  RRab  07:02:51.97 -01:44:26.7  GD1713.24.4236                                   HL Mon
OGLE-GD-RRLYR-00266  RRc   07:03:22.50 -17:19:07.2  GD2378.30.4736                                   
OGLE-GD-RRLYR-00267  RRab  07:03:39.74 -00:11:31.1  GD1718.31.3791                                   UW Mon
OGLE-GD-RRLYR-00268  RRab  07:04:15.31 -06:01:45.2  GD1688.05.5917                                   
